GarageArea,GrLivArea,TotalBsmtSF,YearBuilt
774,1828,1822,2007
308,894,894,1962
432,964,876,1921
857,1689,1568,2002
843,1541,1541,2001
400,1221,1221,2004
440,1324,1088,1965
484,1416,696,1999
297,988,462,1973
440,1218,735,1941
397,1656,746,2003
460,1362,1362,2005
442,1839,756,1966
451,1375,1367,1954
528,1122,924,1948
588,1432,1360,1978
400,1456,728,2007
497,1217,1188,1990
625,1040,0,1950
528,1224,612,2009
468,1774,952,1931
384,1367,861,1900
297,1360,803,1938
420,848,848,2004
749,2262,1482,2003
396,1220,836,1951
398,1414,1375,2004
396,2058,735,1917
0,1198,901,1920
499,1659,1501,2000
308,1012,1012,1920
672,3082,824,1920
672,1812,360,1900
650,1929,1057,2001
576,954,911,1976
765,1838,1838,2006
924,1640,1296,1954
672,1148,1148,1959
280,950,950,1971
471,1911,777,1993
440,1635,1065,1923
440,1316,1316,2007
615,1442,1442,1970
500,1078,1078,1971
544,1120,1040,1961
527,1419,408,2002
240,1389,651,1946
280,1063,1056,1954
874,1792,1792,2003
402,1216,1216,1998
576,1762,596,1920
434,1959,847,2004
546,1208,1208,1977
315,1524,874,1958
240,1154,796,1922
420,1048,0,1950
273,886,190,1938
600,943,943,1979
603,1768,866,2005
779,2599,1393,1999
275,912,912,1958
308,882,0,1956
511,1337,1405,1998
850,2076,2076,2006
752,2531,1318,1995
240,1768,731,1937
538,1625,1573,2006
389,2144,1444,1958
880,2775,1237,1893
477,1868,585,1984
541,1525,1525,2000
722,1571,1571,2007
0,796,796,1910
432,2372,994,1892
402,1472,384,1991
364,960,648,1965
372,1838,732,2005
484,1309,1040,1974
694,2643,2153,2006
200,1131,676,1941
400,1960,960,1952
336,1144,1144,1963
576,1056,1056,1980
0,693,693,1941
576,1494,1479,1997
482,1646,1594,2004
352,864,864,1972
750,1566,1566,2008
497,1395,723,1972
539,1208,780,1925
180,1513,939,1920
560,1367,884,1931
386,955,955,1966
210,1077,1007,1922
572,1056,1056,1955
615,1553,756,2005
865,1614,1614,2005
1390,2042,2042,2008
326,1073,1073,1921
240,1285,672,1948
550,2117,1205,1970
0,605,528,1920
300,1150,1150,1959
400,1456,728,2005
588,999,944,1961
564,1500,750,2005
375,1336,1165,1953
398,1593,839,2004
836,2184,1104,2008
573,1560,1560,2003
312,1644,728,1942
286,630,630,1970
504,1113,1143,1976
947,2172,1063,2006
384,1346,560,1910
550,2610,1184,2007
936,1958,1026,2005
898,1468,1468,2008
539,1734,0,1977
240,1200,768,1946
438,1550,1092,2006
440,2230,795,1912
240,1639,1064,1936
624,864,864,1958
440,1621,1208,1984
264,987,483,1972
628,2519,1210,1989
440,1365,765,1970
779,2290,1128,2002
840,2596,1249,2006
352,907,907,1957
440,1456,855,1976
540,1190,1106,1962
684,858,858,1971
516,2223,2223,1973
672,1005,1005,1955
409,1895,712,1994
384,1040,1040,1965
461,1264,1268,1960
578,1761,874,2007
888,1034,1012,1976
439,1363,1385,1954
480,1689,1436,1956
839,2113,2109,1995
544,1573,1573,2002
820,2364,2330,2009
645,2034,1057,1997
431,1291,1291,1996
0,858,858,1958
280,1258,560,1939
246,438,290,1920
440,1400,672,1978
240,954,920,1938
645,1445,1127,1964
525,1072,547,2005
0,1664,0,1965
441,2134,844,1916
380,3194,965,1934
0,1824,912,1971
422,1756,872,1996
576,912,912,1965
600,1509,1461,1988
216,1608,976,1925
397,1316,1316,2005
450,1015,768,1925
240,1134,756,1940
865,1636,1623,2006
400,1320,660,2003
538,2126,1013,1967
525,1128,1120,1963
756,1306,992,1957
0,1344,546,1970
704,2554,718,1890
576,893,845,1949
668,1933,894,2007
264,1218,672,1973
534,1969,808,1977
556,2090,1220,1995
487,1484,1484,1971
506,1656,1656,1973
210,1224,818,1926
390,2054,992,2000
576,854,832,1929
286,1092,546,1973
252,1268,1268,1977
550,1661,799,1996
502,1668,1657,2003
508,1493,1478,1997
306,932,932,1950
526,1277,1277,1970
630,1530,1530,2004
484,1344,1024,1958
528,860,840,1982
626,1314,1314,2007
868,1962,1391,2006
388,1490,788,2004
420,848,848,2004
240,672,672,1940
252,2340,1152,1941
180,1656,660,1916
484,1479,725,1972
740,1226,1226,2009
444,2087,832,1966
576,1158,1158,2004
480,1154,1154,1966
527,1724,880,1998
431,1658,773,1995
520,1126,0,1949
300,1393,816,1955
1014,3447,728,1935
264,987,483,1973
0,1355,644,1940
505,2069,585,1960
440,1501,744,1999
908,1976,1976,2006
758,1563,1563,2007
288,1111,572,1926
270,1502,776,1931
452,1733,0,1955
706,2728,1848,2005
264,1302,630,1972
586,1524,1332,1979
680,1588,0,1959
430,1125,1125,2006
480,1200,600,2005
520,1640,798,2004
525,2127,1223,1994
240,972,972,1948
466,2020,1128,1995
596,1144,1144,1956
288,1352,1062,1958
484,1316,926,1929
592,1924,1086,1998
240,1164,1164,1950
840,952,952,1951
0,2358,684,1872
540,1680,880,1988
672,1912,482,1905
480,1004,1004,1970
305,1230,747,1946
495,1167,915,1920
440,1301,1145,1924
445,1453,1453,1986
670,1601,1581,2001
825,1588,1588,2006
264,1095,588,1958
368,1050,1050,1961
432,960,960,1965
280,1456,810,1948
462,1489,1489,1968
786,1726,1726,2007
484,2082,1362,2003
484,1339,1309,1990
1069,2450,1284,1998
660,1863,879,2006
396,768,768,1972
0,334,0,1946
384,1136,1136,1965
405,1337,1237,1998
288,912,912,1964
264,1812,864,1962
240,2192,720,1939
0,1184,658,1910
308,1889,925,1910
624,1327,1063,1959
576,1422,1422,1981
576,1632,1632,1967
451,1630,1630,2000
0,1526,1013,1915
420,1040,0,1949
216,1647,806,1915
576,1981,1122,1928
418,1644,1416,1953
868,2574,1482,2007
520,1824,764,1919
520,1350,1248,1964
440,958,958,1976
370,1848,833,1923
490,1620,1281,1976
400,1167,1158,1992
220,1487,735,1945
288,892,892,1967
240,804,788,1940
0,1140,1140,2006
483,1796,780,1963
551,2030,848,1976
812,2007,1017,2008
216,691,691,1920
676,1590,768,2008
325,1855,994,1954
442,1804,994,1999
543,1768,884,2003
807,3627,1930,1995
403,1298,1298,1985
484,1801,1501,1959
0,630,630,1970
440,1103,1103,1925
384,1178,859,1900
440,1196,1196,1916
529,1372,1372,2007
296,1431,1099,1962
626,1422,1422,2004
501,1953,1580,1992
440,1121,1121,2003
852,2473,1143,2004
576,1057,1057,1962
602,1110,1097,1978
671,2270,1152,1999
746,2018,2002,2008
440,1386,672,1978
1043,1953,1082,2005
462,1337,1337,1993
648,2285,969,2000
826,1718,1705,2007
484,1086,1024,1966
660,1555,1373,2007
567,1902,1902,1959
693,2514,1216,1990
528,1224,1086,1979
460,1054,1054,1969
676,2612,1225,1998
288,902,876,1967
484,2353,845,1980
299,1392,689,1977
576,1155,1109,1961
240,1904,1208,1950
208,1158,862,1929
502,1362,611,1920
429,2291,975,1999
250,1317,649,1920
928,1734,1734,2007
312,1194,1194,1959
720,1416,876,1915
354,1383,1383,1954
871,2002,1001,1949
474,1496,1496,2007
660,1604,984,1941
504,764,680,1925
476,1732,741,1985
840,1494,1494,2006
180,986,960,1926
397,1145,1145,2005
0,1484,742,1914
525,1344,819,1958
686,1539,650,1904
656,2504,1122,2005
528,747,600,1926
583,2097,1108,1998
